title,author,id
问刘十九,白居易
寄王秘书,白居易
湖上夜饮,白居易
古风 二十七,李白
奉陪封大夫九日登高,岑参
同从叔简酬卢殷少府,孟郊
和友人盘石寺逢旧友,温庭筠
咏廿四气诗 霜降九月中,元稹
秋雨中赠元九,白居易
杨柳八首 八,温庭筠
忆九华,罗隐
楚怨,孟郊
独愁,孟郊
绝句四首 二,杜甫
代应二首 一,李商隐
代赠二首 一,李商隐
题李次云窗竹,白居易
题李十一东亭,白居易
微之宅残牡丹,白居易
题元处士高亭,杜牧
怀吴中冯秀才,杜牧
杨柳八首 一,温庭筠
杨柳八首 五,温庭筠
杨柳八首 六,温庭筠
登庐山五老峰,李白
从龙潭寺至少林寺题赠同游者,白居易
定西番 一,温庭筠
和刘郎中望终南山秋雪,白居易
观音岩,孟郊
谢令狐绹相公赐衣九事,贾岛
舟行即事,杜荀鹤
句,温庭筠
九日龙山饮,李白
雪行寄襃子,韦应物
荅王卿送别,韦应物
知音者诚希,韩愈
醉中对红叶,白居易
龙昌寺荷池,白居易
碧涧驿晓思,温庭筠
又赠李侍御,王昌龄
清湘词二首 二,刘禹锡
竹枝词九首 九,刘禹锡
长安正月十五日,白居易
杂体诗 夜会问荅十 三,皮日休
魏宫词二首 二,刘禹锡
杨枝词二首 二,刘禹锡
竹枝词二首 一,刘禹锡
踏歌词四首 三,刘禹锡
竹枝词九首 一,刘禹锡
竹枝词九首 二,刘禹锡
竹枝词九首 五,刘禹锡
司马宅,白居易
和刘郎中伤鄂姬,白居易
香山寺二绝 二,白居易
途中作,杜牧
寄扬州韩绰判官,杜牧
伤友人悼吹箫妓,杜牧
从军行七首 二,王昌龄
从军行七首 四,王昌龄
送吴十九往沅陵,王昌龄
菊,罗隐
寒,元稹
虢州送天平何丞入京市马,岑参
咏廿四气诗 立春正月节,元稹
咏廿四气诗 小暑六月节,元稹
咏廿四气诗 处暑七月中,元稹
送白利从金吾董将军西征,李白
九日五首 一,杜甫
山中对雪有作,杜荀鹤
正月三日闲行,白居易
寄殷协律,白居易
喜华阴王少府使到南池宴集,岑参
琴曲歌辞  秋思二首 一,李白
寓言,孟郊
梅雨,柳宗元
风雨,李商隐
梅雨,杜甫
江梅,杜甫
北风,杜甫
雨晴,杜甫
朝雨,杜甫
对雪,杜甫
夜雨,元稹
子规,贾岛
初月,杜甫
萤火,杜甫
夜饮,元稹
旅情,杜牧
秋思,李白
对雨,李白
晓晴,李白
杨柳枝词八首 六,白居易
绝句漫兴九首 六,杜甫
绝句漫兴九首 七,杜甫
杨柳枝词九首 四,刘禹锡
杨柳枝词八首 三,白居易
杨柳枝词八首 七,白居易
香山避暑二绝 二,白居易
长安春晚二首 二,温庭筠
太湖秋夕,王昌龄
绝句六首 六,杜甫
雨中访崔十八,白居易
别人四首 二,王勃
绝句二首 一,杜甫
绝句六首 一,杜甫
牡丹二首 一,元稹
送薛种游湖南,杜牧
杂诗三首 三,王维
九月十日即事,李白
清溪半夜闻笛,李白
杂曲歌辞 忆江南 一,白居易
醉后题李马二妓,白居易
送卢处士游吴越,温庭筠
裴侍郎大尹雪中遗酒一壶兼示眼疾平一绝有闲行把酒之句斐然仰酬,刘禹锡
雨雪曲,卢照邻
古怨别,孟郊
别韦五,高适
有所思,杨炯
从军行,李白
春日山中对雪有作,杜荀鹤
山中五绝句 岭上云,白居易
杂曲歌辞 竹枝 三,刘禹锡
杂曲歌辞 竹枝 七,刘禹锡
杂曲歌辞 竹枝 九,刘禹锡
杂曲歌辞 竹枝 一,刘禹锡
酬孝甫见赠十首 六,元稹
九日,李白
送滕庶子致仕归婺州,白居易
嘲三月十八日雪,温庭筠
春兴,白居易
宿永阳寄璨律师,韦应物
复愁十二首 二,杜甫
复愁十二首 六,杜甫
复愁十二首 十,杜甫
莫走柳条词送别,白居易
句 六,白居易
白鼻䯄,李白
送舍弟,李白
对琴待月,白居易
相如琴台,卢照邻
宿青草湖,杜甫
小院酒醒,白居易
春日有感,孟郊
寻言上人,孟郊
郊园即事,王勃
途中遇晴,孟浩然
送郑少府,贾岛
寄华山僧,贾岛
河亭晴望,白居易
题喷玉泉,白居易
南塘暝兴,白居易
登九峰楼,杜牧
春宵自遣,李商隐
寄山中人,温庭筠
归辋川作,王维
劝酒十四首 不如来饮酒七首 三,白居易
司马相如琴台,岑参
苦雪四首 一,高适
杂曲歌辞 杨柳枝 一,刘禹锡
杂曲歌辞 杨柳枝 三,刘禹锡
杂曲歌辞 忆江南 三,白居易
送高侍御使回因寄杨八,白居易
寒夜怀友杂体二首 二,王勃
春日陪崔谏议樱桃园宴,皮日休
杂曲歌辞 杨柳枝 四,白居易
杂曲歌辞 杨柳枝 六,刘禹锡
杂曲歌辞 杨柳枝 八,刘禹锡
杂曲歌辞 杨柳枝 一,李商隐
杂曲歌辞 杨柳枝 四,温庭筠
杂曲歌辞 杨柳枝 七,温庭筠
杂曲歌辞 杨柳枝 八,温庭筠
杂曲歌辞 浪淘沙 七,刘禹锡
杂曲歌辞 忆江南 一,刘禹锡
杂曲歌辞 踏歌行 三,刘禹锡
见元九悼亡诗因以此寄,白居易
代赠,李商隐
芙蓉楼送辛渐二首 二,王昌龄
游南阳清泠泉,李白
洗然弟竹亭,孟浩然
岁除夜对酒,白居易
九日怀襄阳,孟浩然
读友人诗卷,杜荀鹤
哭长孙侍御,杜甫
赠道月上人,孟郊
宿赟上人房,贾岛
勅勒歌塞北,温庭筠
初秋寄友人,温庭筠
宿裴氏山庄,王昌龄
静法师东斋,王昌龄
七月二十九日崇让宅䜩作,李商隐
远愁曲,孟郊
别妻家,孟郊
真娘墓,白居易
沣上对月寄孔谏议,韦应物
马诗二十三首 二,李贺
题翰林东合前小松,元稹
题新定八松院小石,杜牧
寒夜思友三首 一,王勃
三台 二,韦应物
秋浦歌十七首 五,李白
怀瑯琊深标二释子,韦应物
禁中九日对菊花酒忆元九,白居易
鼓吹曲辞 凯歌六首 二,岑参
江畔独步寻花七绝句 五,杜甫
离亭赋得折杨柳二首 一,李商隐
楚夕旅泊古兴,岑参
西河雨夜送客,白居易
古风 三十八,李白
芳草涧,韦应物
秋夕旅怀,李白
送李司谏归京,岑参
题唐兴寺小松,杜荀鹤
遣兴五首 一,杜甫
徐九少尹见过,杜甫
人日两篇 一,杜甫
鹤叹二首 一,刘禹锡
送从弟郢东归,孟郊
遣春十首 三,元稹
遣春十首 九,元稹
遣行十首 九,元稹
赠东邻王十三,白居易
早夏游平原回,白居易
江南逢李先辈,杜荀鹤
宴郑参卿山池,李白
陪族叔刑部侍郎晔及中书贾舍人至游洞庭五首 二,李白
感兴六首 四,李白
听蜀僧濬弹琴,李白
江楼曲,李贺
杂曲歌辞 十二月乐辞 九月,李贺
古风 十二,李白
王濬墓下作,李贺
同赵二十二访张明府郊居联句,杜牧
桃花,罗隐
梅花,罗隐
赠僧,贾岛
偶游,温庭筠
早发,杜荀鹤
九江北岸遇风雨,白居易
九日奉寄严大夫,杜甫
严郑公宅同咏竹,杜甫
岁暮碛外寄元㧑,岑参
送韦侍御先归京,岑参
送郑侍御谪闽中,高适
寻张五回夜园作,孟浩然
茶中杂咏 茶鼎,皮日休
景申秋八首 六,元稹
送杨长史赴果州,王维
始夏南园思旧里,韦应物
杂曲歌辞 潇湘神二曲 二,刘禹锡
